X,Y,Z,LABEL 0 OR 1
-0.529,4.736,7.796,0
-0.686,4.736,7.718,0
-1.078,4.972,7.482,0
-1.549,5.129,7.168,0
-1.471,5.05,6.933,0
-1,5.129,6.776,0
-0.686,5.599,6.776,0
-0.529,5.835,6.776,0
-0.686,6.07,6.855,0
-1.078,6.227,7.168,0
-1.314,5.992,7.561,0
-1.314,5.992,7.561,1
-0.764,5.521,8.188,1
-0.372,5.207,9.051,0
-0.451,5.05,9.365,0
-0.608,4.893,9.757,0
-1,4.579,9.836,0
-0.921,4.501,9.601,1
-0.529,4.422,9.051,1
-0.294,4.736,8.424,1
-0.294,5.207,7.718,0
-0.294,5.207,7.718,0
-0.451,5.599,7.561,0
-0.608,5.599,7.561,0
-0.686,5.442,7.639,0
-0.372,5.756,7.875,0
-0.372,5.756,7.875,0
-0.372,6.148,8.424,0
-0.372,6.148,8.424,1
-0.137,5.442,9.365,0
-0.137,5.442,9.365,0
-0.137,5.442,9.522,0
-0.294,5.285,9.365,0
-0.608,5.05,8.973,0
-0.686,4.893,8.502,0
-0.686,4.893,7.953,0
-0.608,4.972,7.482,0
-0.608,5.364,7.09,0
-0.686,5.599,6.776,0
-1,5.913,6.541,0
-1.157,6.148,6.541,0
-0.843,5.992,6.855,0
-0.608,5.756,7.247,0
-0.451,5.913,7.718,0
-0.215,5.913,8.188,0
-0.058,5.756,8.738,0
-0.137,5.521,8.973,0
-0.294,5.442,8.816,0
-0.137,5.285,8.267,0
-0.215,5.207,7.639,0
-0.294,5.285,6.933,0
-0.372,5.364,6.384,0
-0.529,5.521,6.07,0
-0.843,5.678,6.148,0
-0.764,5.599,6.227,0
-0.529,5.442,6.462,0
-0.451,5.442,7.012,0
-0.529,5.678,7.482,0
-0.686,5.599,8.031,1
-0.686,5.285,8.816,0
-0.843,5.129,9.444,0
-0.843,5.129,9.836,0
-0.764,4.972,9.993,0
-0.529,4.815,9.836,0
-0.215,4.658,9.365,1
-0.058,4.893,8.738,1
-0.058,5.285,7.953,1
-0.294,5.599,7.325,0
-0.215,5.442,6.933,0
0.019,5.442,6.776,0
0.176,5.364,6.776,0
0.333,5.442,6.541,0
0.411,5.599,6.541,0
0.098,5.913,6.619,0
-0.215,6.07,6.776,0
-0.372,5.756,7.247,1
-0.294,5.442,7.875,0
-0.372,5.521,8.424,0
-0.372,5.599,8.816,0
-0.451,5.442,9.287,0
-0.764,5.442,9.757,0
-1,5.442,9.914,0
-0.843,5.207,9.679,0
-0.843,5.285,9.365,0
-1.078,5.442,9.051,0
-1.235,5.521,8.659,0
-1.235,5.442,8.659,0
-1.235,5.364,8.894,0
-1.157,5.285,9.051,0
-1.078,5.207,9.208,0
-1.078,5.05,9.13,0
-0.686,4.893,8.738,0
-0.451,4.972,8.267,0
-0.451,4.972,8.267,0
-0.451,5.285,7.718,1
-0.764,5.599,7.247,0
-1,5.756,6.776,0
-1.157,5.913,6.541,0
-1.392,5.913,6.619,0
-1,5.835,6.933,1
-0.451,5.756,7.325,1
-0.058,5.756,8.031,0
0.019,5.913,8.581,0
-0.137,5.835,9.051,0
-0.529,5.442,9.13,0
-0.529,4.972,8.973,1
-0.215,4.815,8.345,0
-0.215,4.893,7.561,0
-0.372,4.972,6.933,0
-0.294,4.893,6.619,0
-0.215,4.972,6.698,0
-0.215,5.129,7.012,0
-0.294,5.364,7.247,0
-0.294,5.442,7.561,0
-0.215,5.521,7.796,0
-0.215,5.835,7.953,0
-0.137,6.227,7.875,0
-0.215,6.384,7.639,0
-0.294,6.305,7.404,0
-0.372,6.227,7.325,0
-0.372,6.227,7.404,0
-0.294,6.305,7.639,0
-0.137,6.07,7.953,0
0.019,5.913,8.267,0
-0.137,5.678,8.502,0
-0.294,5.678,8.738,0
-0.294,5.442,8.894,0
-0.137,5.129,9.208,0
-0.215,5.05,9.444,0
-0.372,5.285,9.287,0
-0.764,5.364,9.13,0
-1.078,5.285,8.738,0
-0.921,5.285,8.267,0
-0.608,5.207,8.031,0
-0.529,5.285,7.953,0
-0.608,5.364,8.11,0
-0.843,5.364,8.424,0
-1.235,5.442,8.659,0
-1.314,5.678,8.581,0
-0.843,5.442,8.424,0
-0.294,5.207,8.267,0
-0.215,5.364,8.11,0
-0.294,5.521,8.11,0
-0.764,5.364,8.188,0
-1,5.442,8.188,0
-0.686,5.599,8.031,0
-0.294,5.364,7.718,0
-0.137,5.285,7.325,1
-0.451,5.678,6.776,0
-0.686,5.992,6.384,0
-1.078,6.07,6.148,0
-1.078,6.305,6.227,0
-0.608,6.462,6.227,0
-0.215,6.384,6.698,0
-0.137,6.227,7.247,1
-0.294,5.992,7.875,1
-0.529,5.756,8.581,1
-0.686,5.285,9.13,0
-0.608,5.05,9.365,0
-0.215,5.05,9.13,0
0.019,5.129,8.581,1
0.019,5.285,7.639,0
-0.215,5.285,7.168,0
-0.608,5.207,7.012,0
-0.529,5.207,7.012,0
-0.372,5.442,7.09,0
-0.215,5.678,7.482,0
-0.137,5.835,8.031,0
