X,Y,Z,Target 
-1.514,1.505,9.447,0
-1.437,1.448,9.275,0
-1.533,1.467,9.255,0
-1.629,1.467,9.294,0
-1.648,1.486,9.332,0
-1.609,1.429,9.466,0
-1.609,1.448,9.466,0
-1.705,1.39,9.581,0
-1.629,1.352,9.581,0
-1.552,1.314,9.581,0
-1.514,1.314,9.504,0
-1.475,1.39,9.485,0
-1.514,1.371,9.581,0
-1.418,1.41,9.524,0
-1.284,1.467,9.466,0
-1.169,1.448,9.409,0
-0.997,1.467,9.313,0
-0.92,1.448,9.198,0
-1.092,1.371,9.045,0
-1.15,1.352,8.872,0
-0.863,1.525,8.853,0
-0.575,1.544,8.872,0
-0.518,1.486,8.987,0
-0.709,1.371,9.14,0
-0.805,1.352,9.236,0
-0.728,1.218,9.255,0
-0.709,1.161,9.294,0
-0.748,1.065,9.409,0
-0.882,1.103,9.562,0
-1.016,1.046,9.696,0
-1.054,1.027,9.849,0
-1.15,1.046,10.06,0
-1.188,0.988,10.156,0
-1.246,0.969,10.002,0
-1.188,1.046,9.638,0
-1.226,1.161,9.409,0
-1.38,1.41,9.179,0
-1.38,1.486,9.006,0
-1.322,1.639,8.872,0
-1.322,1.735,8.834,0
-1.361,1.831,8.872,0
-1.322,1.888,8.968,0
-1.341,1.965,9.102,0
-1.437,1.984,9.198,0
-1.629,1.965,9.332,0
-1.744,1.888,9.428,0
-1.763,1.812,9.409,0
-1.782,1.735,9.179,0
-1.782,1.697,9.121,0
-2.012,1.716,9.255,0
-2.05,1.716,9.504,0
-2.05,1.371,9.217,0
-2.031,1.352,9.255,0
-2.242,1.41,9.37,0
-2.203,1.371,9.715,0
-2.184,1.141,9.792,0
-2.031,1.103,10.098,0
-2.05,1.084,10.347,0
-2.088,1.122,10.634,0
-2.069,1.161,10.883,0
-1.973,1.065,10.941,0
-1.878,1.027,10.922,0
-1.744,1.007,10.769,0
-1.629,1.007,10.654,0
-1.456,0.988,10.194,0
-1.303,0.969,9.868,0
-1.169,0.95,9.37,0
-1.035,0.988,8.796,0
-1.035,1.084,8.585,0
-1.169,1.295,8.585,0
-1.188,1.41,8.719,0
-1.112,1.505,8.949,0
-1.073,1.467,9.083,0
-0.997,1.505,9.485,0
-0.958,1.486,9.696,0
-0.843,1.525,9.83,0
-0.863,1.505,9.811,0
-0.939,1.486,9.792,0
-0.997,1.429,9.792,0
-0.92,1.276,9.753,0
-0.863,1.161,9.6,0
-0.882,1.103,9.543,0
-0.997,1.046,9.485,0
-0.977,0.969,9.313,0
-0.997,0.873,9.179,0
-1.207,0.835,9.121,0
-1.226,0.873,9.179,0
-1.188,0.854,9.236,0
-1.303,0.873,9.37,0
