X,Y,Z,"Label 0,1"
0.34095764,2.3026276,9.864563,0
0.30743408,2.2547455,9.45755,0
0.12786865,2.3576965,9.136719,0
-0.046905518,2.4654388,8.720139,0
-0.17619324,2.664154,8.315521,0
-0.15463257,2.853302,8.05455,0
0.008163452,2.9371033,7.9898987,0
0.11590576,2.9107666,8.131165,0
0.18772888,2.695282,8.363403,0
0.17337036,2.7359924,8.497467,0
0.33616638,2.8820343,8.497467,0
0.3960266,3.071167,8.533386,0
0.2763214,3.1286316,8.475922,0
0.23800659,3.3105927,8.571701,0
0.56840515,3.3680573,8.887726,0
0.71206665,3.2196198,9.594025,0
0.44630432,2.980194,10.182999,0
-0.11154175,2.877243,10.616348,0
-0.2935028,2.9945526,10.714508,0
-0.6071472,3.418335,10.788727,0
-0.7627716,3.5476227,10.815063,0
-0.839386,3.4638214,10.690567,0
-0.9830322,3.0855408,10.475082,0
-1.2990723,2.7455597,10.247635,0
-1.4953918,2.4845886,9.8741455,0
-1.5097656,2.7359924,9.268402,0
-1.483429,3.2148285,8.600418,0
-1.4738464,3.4638214,7.982727,0
-1.4068146,3.3417206,7.5613403,0
-0.9399414,3.0280762,7.491913,0
-0.4419403,2.6904907,7.9180756,0
-0.28631592,2.343338,8.387344,0
-0.46348572,2.1087036,8.432831,0
-0.7172699,2.2595367,8.202988,0
-0.70051575,2.4869843,8.033005,0
-0.35336304,2.556427,7.977936,0
-0.23603821,2.5061493,8.083282,0
0.036895752,2.6114807,8.274811,0
0.17814636,2.829361,8.82309,0
-0.044509888,2.9203339,9.431213,0
-0.408432,2.987381,10.120743,0
-0.7531891,3.2243958,11.054474,0
-0.8513489,3.3129883,12.02652,0
-0.72924805,3.1621552,12.610718,0
-0.46827698,3.011322,12.909988,0
-0.26956177,3.0831451,12.656204,0
-0.14027405,3.0879364,11.880478,0
-0.24082947,2.8197784,10.872528,0
-0.38449097,2.5827637,9.838226,0
-0.46827698,2.5731812,9.079269,0
-0.47306824,2.7647095,7.776825,0
-0.48265076,3.0831451,6.82872,0
-0.40124512,3.236374,6.064972,0
-0.20013428,3.3991852,5.686676,0
0.29067993,3.3800201,6.0601807,0
0.61151123,3.2651062,7.1854553,0
0.47982788,3.2411652,8.358612,0
0.3098297,3.272293,9.246857,0
0.4319458,3.339325,10.0920105,0
0.47982788,3.2962341,10.810272,0
0.5205231,3.1884918,11.1358795,0
0.48939514,3.1884918,11.234039,0
0.3864441,3.1549683,11.111938,0
0.2954712,3.1645508,10.257217,0
0.41278076,3.315384,9.3641815,0
0.7216339,3.7104187,8.62915,0
0.61868286,3.904358,8.344238,0
0.30026245,3.9665985,8.605209,0
-0.022964478,3.842102,9.038559,0
0.034500122,3.7128143,9.759216,0
0.2882843,3.533249,10.532547,0
0.3960266,3.0927277,11.765564,0
0.37927246,2.7934418,12.287491,0
0.24279785,2.4845886,12.2348175,0
0.10871887,2.2379913,11.799072,0
-0.020568848,1.8621063,11.040115,0
-0.15463257,1.7280273,10.300308,0
-0.2839203,1.7064819,9.287567,0
-0.30308533,1.967453,8.076096,0
-0.43714905,2.4008026,7.094467,0
-0.6454468,2.8628845,6.2541046,0
-0.97824097,3.3129883,5.6962585,0
-1.1817474,3.4470673,5.789627,0
-1.2870941,3.4781952,6.3762054,0
-1.3708954,3.308197,6.9172974,0
-1.3828583,3.2220154,8.033005,0
-1.3589172,3.4877625,8.416077,0
-1.1195068,3.7894287,8.595642,0
-0.78671265,3.9115448,8.911667,1
-0.24562073,3.9474487,9.852585,1
0.39842224,3.6074677,11.107147,1
0.32659912,2.939499,11.619507,0
0.37208557,2.5109253,12.273132,0
0.4319458,2.4606476,12.335373,0
0.6976929,2.7551422,12.139053,0
0.96824646,2.6186676,12.115112,0
1.1142883,2.1254578,11.935547,0
1.1669617,1.7112732,11.49501,0
1.1238708,1.462265,10.915619,0
0.87965393,1.5149384,10.309891,0
0.58517456,1.7830963,9.55571,0
0.30026245,2.2667236,8.9930725,0
0.19012451,2.6378174,8.662674,0
0.17814636,2.6856995,8.480713,0
0.21406555,2.6114807,8.760834,0
0.259552,2.446289,9.510223,0
0.3672943,2.264328,10.487061,0
0.34814453,2.0225067,11.210098,0
0.1973114,2.0320892,11.710495,0
0.15420532,2.0488434,11.868515,0
0.07041931,1.9746246,12.033707,0
-0.21209717,1.6681671,11.827805,0
-0.46348572,1.3425598,11.131088,0
-0.38926697,1.1869354,9.744858,0
-0.25758362,1.2635498,9.383331,0
0.07041931,1.4503021,8.653091,0
0.24519348,1.6921082,8.001877,0
0.09196472,1.8357697,7.7504883,0
-0.40124512,1.9339294,7.539795,0
-1.0500641,1.9004059,7.7480927,0
-1.6653748,1.99617,8.1622925,0
-1.2775269,2.2906647,9.04335,1
-0.5544739,2.355301,9.797531,1
-0.001403809,2.3337555,10.872528,0
-0.018173218,2.173355,11.5668335,0
-0.13787842,2.2786865,11.954697,0
-0.030136108,2.4438934,12.076813,0
0.08717346,2.4965668,12.119904,0
